ward_id,location,rainfall_mm_hr,elevation_m,drainage_capacity_mm_hr,latitude,longitude,population,area_km2,drain_length_km,pump_count,days_since_last_drain_clean,historical_flood_events
W01,Downtown Core,65,8,12,28.6139,77.2090,85000,4.2,18.5,6,142,4
W02,Riverside East,42,14,18,28.6200,77.2350,62000,5.8,22.0,4,98,3
W03,Hillside North,8,140,35,28.7041,77.1025,28000,9.1,14.0,2,32,0
W04,Industrial West,55,22,10,28.6280,77.1500,41000,7.5,16.2,3,175,4
W05,Suburban South,20,75,28,28.5200,77.2000,54000,8.3,28.5,5,55,1
W06,Harbor District,78,3,8,28.6400,77.2800,72000,3.6,12.0,8,210,5
W07,Old Town,33,30,15,28.6550,77.2310,91000,3.2,10.5,3,120,3
W08,Green Valley,12,90,40,28.6900,77.1800,33000,10.2,32.0,4,28,0
W09,Port Area,90,2,5,28.6350,77.3100,48000,4.8,9.5,7,195,5
W10,University Zone,25,55,30,28.6750,77.1600,67000,6.7,25.0,5,45,1
W11,Midtown Central,48,18,22,28.6300,77.2200,98000,3.9,15.0,6,155,3
W12,Wetlands Fringe,60,10,16,28.6050,77.2900,39000,5.1,11.5,4,180,4
W13,Uptown Heights,6,210,50,28.7200,77.1300,19000,12.5,38.0,3,22,0
W14,Market Square,38,35,20,28.6450,77.2100,76000,4.4,17.5,5,88,2
W15,Coastal Flats,85,6,9,28.6100,77.3000,55000,5.2,10.0,6,220,5
W16,East Bridge,52,20,14,28.6220,77.2550,64000,4.6,13.8,4,160,4
W17,North Gardens,18,80,32,28.7100,77.1700,47000,8.8,29.0,5,40,1
W18,South Creek,70,9,11,28.5900,77.2700,53000,4.3,11.0,5,200,5
W19,West Junction,44,25,18,28.6350,77.1400,70000,5.5,19.5,4,110,3
W20,Central Park,28,45,26,28.6500,77.2000,82000,6.0,24.0,6,62,2
W21,Airport Fringe,36,30,20,28.5700,77.1200,31000,9.2,21.0,3,78,2
W22,Tech District,22,65,33,28.6800,77.2400,58000,7.1,27.5,5,35,1
W23,Heritage Quarter,50,28,16,28.6600,77.2150,89000,3.8,12.5,4,135,3
W24,Flood Plain East,75,5,8,28.6150,77.2950,44000,4.0,8.5,6,188,5
W25,Ridge View,10,175,45,28.7300,77.1450,22000,11.0,36.0,3,18,0
